wall,sim,lingueta_mm,lamina_deg,fase
1788443999.02,835.20,0.01,0.00,
1788443999.12,835.30,0.01,0.00,
1788443999.22,835.40,0.00,0.00,
1788443999.32,835.50,0.01,0.00,
1788443999.42,835.60,0.00,0.00,
1788443999.52,835.70,0.01,0.00,
1788443999.62,835.80,0.01,0.00,
1788443999.73,835.90,0.00,0.00,
1788443999.82,836.00,0.01,0.00,
1788443999.92,836.10,0.00,0.00,
1788444000.02,836.20,0.01,0.00,
1788444000.13,836.30,-0.00,0.00,
1788444000.23,836.40,0.00,0.00,
1788444000.33,836.50,0.01,0.00,
1788444000.43,836.60,0.01,0.00,
1788444000.53,836.70,0.01,0.00,
1788444000.63,836.80,0.00,0.00,
1788444000.73,836.90,0.00,0.00,
1788444000.83,837.00,0.01,0.00,
1788444000.93,837.10,0.01,0.00,
1788444001.04,837.20,-0.00,0.00,
1788444001.14,837.30,0.00,0.00,
1788444001.24,837.40,-0.00,0.00,
1788444001.34,837.50,-0.00,0.00,
1788444001.44,837.60,-0.00,0.00,
1788444001.54,837.70,0.01,0.00,
1788444001.64,837.80,-0.00,0.00,
1788444001.74,837.90,-0.00,0.00,
1788444001.84,838.00,0.00,0.00,
1788444001.95,838.10,0.00,0.00,
1788444002.05,838.20,-0.00,0.00,
1788444002.15,838.30,0.01,0.00,
1788444002.25,838.40,-0.00,0.00,
1788444002.35,838.50,0.01,0.00,
1788444002.45,838.60,0.00,0.00,
1788444002.55,838.70,-0.00,0.00,
1788444002.65,838.80,-0.00,0.00,
1788444002.75,838.90,0.01,0.00,
1788444002.85,839.00,-0.00,0.00,
1788444002.96,839.10,0.00,0.00,
1788444003.06,839.20,0.00,0.00,
1788444003.16,839.30,0.01,0.00,
1788444003.26,839.40,-0.00,0.00,
1788444003.36,839.50,-0.00,0.00,
1788444003.46,839.60,-0.00,0.00,
1788444003.56,839.70,0.00,0.00,
1788444003.66,839.80,0.00,0.00,
1788444003.76,839.90,0.01,0.00,
1788444003.86,840.00,0.01,0.00,
1788444003.96,840.10,0.00,0.00,
1788444004.06,840.20,-0.00,0.00,
1788444004.17,840.30,-0.00,0.00,
1788444004.26,840.40,0.00,0.00,
1788444004.37,840.50,0.00,0.00,
1788444004.47,840.60,0.01,0.00,
1788444004.57,840.70,0.01,0.00,
1788444004.67,840.80,0.00,0.00,
1788444004.77,840.90,0.00,0.00,
1788444004.87,841.00,0.00,0.00,
1788444004.97,841.10,0.00,0.00,
1788444005.07,841.20,0.00,0.00,
1788444005.17,841.30,0.01,0.00,
1788444005.27,841.40,0.01,0.00,
1788444005.37,841.50,0.01,0.00,
1788444005.47,841.60,-0.00,0.00,
1788444005.57,841.70,-0.00,0.00,
1788444005.67,841.80,-0.00,0.00,
1788444005.77,841.90,-0.00,0.00,
1788444005.87,842.00,-0.00,0.00,
1788444005.97,842.10,0.01,0.00,
1788444006.07,842.20,0.01,0.00,
1788444006.17,842.30,-0.00,0.00,
1788444006.27,842.40,0.00,0.00,
1788444006.38,842.50,0.00,0.00,
1788444006.48,842.60,0.00,0.00,
1788444006.57,842.70,0.01,0.00,
1788444006.68,842.80,0.01,0.00,
1788444006.78,842.90,-0.00,0.00,
1788444006.88,843.00,0.00,0.00,
1788444006.98,843.10,0.00,0.00,
1788444007.08,843.20,-0.00,0.00,
1788444007.18,843.30,0.00,0.00,
1788444007.28,843.40,0.00,0.00,
1788444007.38,843.50,-0.00,0.00,
1788444007.48,843.60,-0.00,0.00,
1788444007.59,843.70,0.00,0.00,
1788444007.69,843.80,-0.00,0.00,
1788444007.79,843.90,-0.00,0.00,
1788444007.89,844.00,-0.00,0.00,
1788444007.99,844.10,0.01,0.00,
1788444008.09,844.20,0.01,0.00,
1788444008.19,844.30,0.00,0.00,
1788444008.29,844.40,0.00,0.00,
1788444008.39,844.50,0.01,0.00,
1788444008.49,844.60,0.00,0.00,
1788444008.59,844.70,0.01,0.00,
1788444008.69,844.80,0.00,0.00,
1788444008.79,844.90,0.01,0.00,
1788444008.89,845.00,0.00,0.00,
1788444008.99,845.10,0.00,0.00,
1788444009.10,845.20,-0.00,0.00,
1788444009.20,845.30,0.01,0.00,
1788444009.30,845.40,0.01,0.00,
1788444009.40,845.50,0.00,0.00,
1788444009.50,845.60,0.01,0.00,
1788444009.60,845.70,0.00,0.00,
1788444009.70,845.80,0.00,0.00,
1788444009.80,845.90,0.01,0.00,
1788444009.90,846.00,-0.00,0.00,
1788444010.00,846.10,-0.00,0.00,
1788444010.10,846.20,0.00,0.00,
1788444010.20,846.30,0.00,0.00,
1788444010.30,846.40,0.00,0.00,
1788444010.40,846.50,0.01,0.00,
1788444010.50,846.60,0.01,0.00,
1788444010.60,846.70,-0.00,0.00,
1788444010.70,846.80,-0.00,0.00,
1788444010.80,846.90,0.01,0.00,
1788444010.90,847.00,0.01,0.00,
1788444011.00,847.10,0.01,0.00,
1788444011.10,847.20,0.00,0.00,
1788444011.20,847.30,-0.00,0.00,
1788444011.30,847.40,0.00,0.00,
1788444011.40,847.50,0.00,0.00,
1788444011.50,847.60,-0.01,0.00,
1788444011.60,847.70,0.01,0.00,
1788444011.70,847.80,0.01,0.00,
1788444011.80,847.90,-0.00,0.00,
1788444011.90,848.00,-0.00,0.00,
1788444012.00,848.10,0.00,0.00,
1788444012.10,848.20,0.01,0.00,
1788444012.20,848.30,0.00,0.00,
1788444012.30,848.40,0.00,0.00,
1788444012.40,848.50,-0.00,0.00,
1788444012.50,848.60,0.00,0.00,
1788444012.60,848.70,0.00,0.00,
1788444012.70,848.80,0.01,0.00,
1788444012.80,848.90,0.01,0.00,
1788444012.90,849.00,0.01,0.00,
1788444013.00,849.10,-0.00,0.00,
1788444013.10,849.20,-0.01,0.00,
1788444013.20,849.30,0.00,0.00,
1788444013.30,849.40,-0.00,0.00,
1788444013.40,849.50,0.00,0.00,
1788444013.50,849.60,-0.00,0.00,
1788444013.60,849.70,0.01,0.00,
1788444013.71,849.80,-0.00,0.00,
1788444013.81,849.90,-0.00,0.00,
1788444013.90,850.00,0.00,0.00,
1788444014.01,850.10,0.01,0.00,
1788444014.11,850.20,0.00,0.00,
1788444014.21,850.30,0.01,0.00,
1788444014.31,850.40,0.00,0.00,
1788444014.41,850.50,0.01,0.00,
1788444014.51,850.60,0.01,0.00,
1788444014.61,850.70,-0.00,0.00,
1788444014.71,850.80,-0.00,0.00,
1788444014.81,850.90,0.00,0.00,
1788444014.91,851.00,0.00,0.00,
1788444015.01,851.10,0.00,0.00,
1788444015.11,851.20,0.01,0.00,
1788444015.21,851.30,0.00,0.00,
1788444015.31,851.40,0.01,0.00,
1788444015.41,851.50,0.00,0.00,
1788444015.52,851.60,0.00,0.00,
1788444015.62,851.70,0.01,0.00,
1788444015.72,851.80,0.01,0.00,
1788444015.82,851.90,-0.00,0.00,
1788444015.92,852.00,0.00,0.00,
1788444016.02,852.10,-0.00,0.00,
1788444016.12,852.20,0.00,0.00,
1788444016.22,852.30,-0.01,0.00,
1788444016.32,852.40,0.00,0.00,
1788444016.43,852.50,-0.00,0.00,
1788444016.52,852.60,-0.00,0.00,
1788444016.63,852.70,0.00,0.00,
1788444016.73,852.80,0.00,0.00,
1788444016.83,852.90,0.00,0.00,
1788444016.93,853.00,-0.00,0.00,
1788444017.03,853.10,-0.00,0.00,
1788444017.13,853.20,0.00,0.00,
1788444017.23,853.30,-0.01,0.00,
1788444017.33,853.40,0.00,0.00,
1788444017.44,853.50,0.01,0.00,
1788444017.53,853.60,-0.00,0.00,
1788444017.64,853.70,0.01,0.00,
1788444017.74,853.80,0.01,0.00,
1788444017.85,853.90,0.00,0.00,
1788444017.95,854.00,-0.00,0.00,
1788444018.05,854.10,0.00,0.00,
1788444018.15,854.20,-0.00,0.00,
